name,rating,jersey,team,position,birthday,height,weight,salary,country
Raul Neto,72,19,76ers,Guard,5/19/92,01-Jun,170,1737145,Brazil
Cristiano Felicio,72,6,Bulls,Forward,7/07/92,10-Jun,270,8156500,Brazil
Nickeil Alexander-Walker,72,0,Pelicans,Guard,9/02/98,05-Jun,205,2964840,Canada
Luka Samanic,72,19,Spurs,Forward,1/09/00,10-Jun,209,2689920,Croatia
Goga Bitadze,72,88,Pacers,Center,7/20/99,11-Jun,251,2816760,Georgia
Ryan Arcidiacono,72,51,Bulls,Guard,3/26/94,03-Jun,195,3000000,Italy
Tim Frazier,72,0,,Guard,11/01/90,01-Jun,170,1620564,United States
Langston Galloway,72,9,Pistons,Guard,12/09/91,01-Jun,202,7333333,United States
DJ Wilson,72,5,Bucks,Forward,2/19/96,10-Jun,234,2961120,United States
Nicolas Claxton,72,0,Nets,Center,4/17/90,11-Jun,215,898310,United States
Brandon Knight,72,0,Pistons,Guard,12/02/91,02-Jun,189,15643750,United States
Cameron Payne,72,0,Suns,Guard,8/08/94,02-Jun,180,346288,United States
De'Anthony Melton,72,0,Grizzlies,Guard,5/28/98,02-Jun,190,1416852,United States
Anfernee Simons,72,1,Trail Blazers,Guard,6/08/99,03-Jun,181,2149560,United States
Zhaire Smith,72,8,76ers,"Guard,Forward",6/04/99,03-Jun,205,3058800,United States
Grayson Allen,72,3,Grizzlies,Guard,10/08/95,04-Jun,205,2429400,United States
Antonio Blakeney,72,0,,"Guard,Forward",10/04/96,04-Jun,197,1488231,United States
Troy Daniels,72,30,Nuggets,Guard,7/15/91,04-Jun,200,2487033,United States
Donte DiVincenzo,72,0,Bucks,Guard,1/31/97,04-Jun,205,2905800,United States
Rodney McGruder,72,19,Clippers,Guard,7/29/91,04-Jun,205,4807693,United States
Romeo Langford,72,45,Celtics,Guard,10/25/99,04-Jun,216,3458400,United States
Kevin Porter,72,4,Cavaliers,"Guard,Forward",5/04/00,04-Jun,218,1290960,United States
Matt Thomas,72,21,Raptors,Guard,8/04/94,04-Jun,197,898310,United States
Michael Carter-Williams,72,7,Magic,Guard,10/10/91,05-Jun,184,2028594,United States
Courtney Lee,72,1,Mavericks,"Guard,Forward",10/03/85,05-Jun,200,12759670,United States
Matisse Thybulle,72,22,76ers,"Guard,Forward",3/04/97,05-Jun,201,2582160,United States
Ty Jerome,72,10,Suns,Guard,7/08/97,05-Jun,195,2193480,United States
Keldon Johnson,72,3,Spurs,Forward,10/11/99,05-Jun,211,1950600,United States
Jared Dudley,72,10,Lakers,Forward,7/10/85,06-Jun,225,2564753,United States
Justin Holiday,72,8,Pacers,Guard,4/05/89,06-Jun,180,4767000,United States
Wesley Iwundu,72,25,Magic,Forward,12/20/94,06-Jun,205,1618520,United States
Darius Miller,72,21,Pelicans,Forward,3/21/90,06-Jun,225,7250000,United States
Grant Williams,72,12,Celtics,Forward,11/30/98,06-Jun,236,2379840,United States
Kenrich Williams,72,34,Pelicans,"Guard,Forward",12/02/94,06-Jun,210,1416852,United States
Chandler Hutchison,72,15,Bulls,Forward,4/26/96,07-Jun,196,2332320,United States
Patrick McCaw,72,22,Raptors,Guard,10/25/95,07-Jun,181,4000000,United States
Georges Niang,72,31,Jazz,Forward,6/17/93,07-Jun,230,1645357,United States
PJ Washington,72,25,Hornets,Forward,8/23/98,07-Jun,225,3831840,United States
Anthony Tolliver,72,0,Grizzlies,Forward,6/01/85,08-Jun,240,2854556,United States
Alfonzo McKinnie,72,0,Cavaliers,Forward,9/17/92,08-Jun,215,2391985,United States
Chuma Okeke,72,3,,"Forward,Center",8/18/98,08-Jun,230,2773550,United States
Cameron Johnson,72,23,Suns,Forward,3/03/96,08-Jun,210,4033440,United States
Bruno Fernando,71,24,Hawks,Forward,8/15/98,09-Jun,245,1400000,Angola
Dzanan Musa,71,13,Nets,Forward,5/08/99,09-Jun,195,1911600,Bosnia and Herzegovina
Chris Boucher,71,25,Raptors,"Forward,Center",1/11/93,09-Jun,200,1588231,Canada
Elie Okobo,71,2,Suns,Guard,10/23/97,03-Jun,190,1416852,France
Moritz Wagner,71,21,Wizards,Forward,4/26/97,11-Jun,240,2063520,Germany
Chimezie Metu,71,7,Spurs,Forward,3/22/97,09-Jun,225,1416852,Nigeria
Alen Smailagic,71,6,Warriors,Forward,8/18/00,10-Jun,215,898310,Serbia
Frank Mason,71,15,Bucks,Guard,4/13/94,11-May,190,79568,United States
Carsen Edwards,71,4,Celtics,Guard,3/12/98,11-May,200,1228026,United States
Jevon Carter,71,4,Suns,Guard,9/14/95,01-Jun,200,1416852,United States
Deyonta Davis,71,0,,"Forward,Center",12/02/96,10-Jun,240,250000,United States
Daniel Gafford,71,12,Bulls,Forward,10/01/98,10-Jun,234,898310,United States
Frank Jackson,71,15,Pelicans,Guard,5/04/98,03-Jun,205,1618520,United States
Ben McLemore,71,16,Rockets,Guard,2/11/93,03-Jun,189,2028594,United States
Jacob Evans,71,0,Timberwolves,Guard,6/18/97,04-Jun,210,1925880,United States
Jerome Robinson,71,1,Wizards,Guard,2/22/97,04-Jun,190,3567720,United States
Edmond Sumner,71,5,Pacers,Guard,12/13/95,04-Jun,186,2000000,United States
Treveon Graham,71,12,Hawks,Guard,10/28/93,05-Jun,219,1645357,United States
Gary Trent Jr,71,2,Trail Blazers,Guard,1/18/99,05-Jun,209,1416852,United States
Admiral Schofield,71,1,Wizards,Forward,3/30/97,05-Jun,241,1000000,United States
Shake Milton,71,18,76ers,Center,9/26/96,05-Jun,205,1445697,United States
Terrance Ferguson,71,23,Thunder,Guard,5/17/98,06-Jun,184,2475840,United States
Eric Paschall,71,7,Warriors,Forward,11/04/96,06-Jun,255,898310,United States
JaKarr Sampson,71,14,Pacers,Forward,3/20/93,07-Jun,223,1737145,United States
KZ Okpala,71,4,Heat,Forward,4/28/99,08-Jun,215,898310,United States
Luke Kornet,71,2,Bulls,Center,7/15/95,02-Jul,240,2250000,United States
Ignas Brazdeikis,70,17,Knicks,Forward,1/08/99,06-Jun,216,898310,Canada
Abdel Nader,70,11,Thunder,Forward,9/25/93,05-Jun,225,1618520,Egypt
Thanasis Antetokounmpo,70,43,Bucks,Forward,7/18/92,06-Jun,215,1445697,Greece
Skal Labissiere,70,0,Hawks,"Center,Forward",3/18/96,10-Jun,216,2338846,Haiti
Sviatoslav Mykhailiuk,70,19,Pistons,Guard,6/10/97,07-Jun,205,1416852,Ukraine
Tony Bradley,70,13,Jazz,"Forward,Center",1/08/98,10-Jun,248,1962360,United States
Miles Plumlee,70,0,,"Forward,Center",9/01/88,11-Jun,255,12500000,United States
Jordan Poole,70,3,Warriors,Guard,6/19/99,04-Jun,194,1964760,United States
Talen Horton-Tucker,70,5,Lakers,Guard,11/20/00,04-Jun,234,898310,United States
Deonte Burton,70,30,Thunder,Guard,6/26/91,04-Jun,240,1416852,United States
Hamidou Diallo,70,6,Thunder,Guard,7/31/98,05-Jun,198,1416852,United States
Melvin Frazier,70,35,Magic,Forward,8/30/96,05-Jun,201,1416852,United States
Jemerrio Jones,70,0,,Forward,4/09/95,05-Jun,201,195077,United States
Solomon Hill,70,44,Heat,Forward,3/18/91,06-Jun,226,13290395,United States
Alize Johnson,70,24,Pacers,Forward,4/26/96,07-Jun,201,1416852,United States
Justin James,70,10,Kings,Guard,1/24/97,07-Jun,190,898310,United States
Keita Bates-Diop,70,0,Nuggets,Forward,1/23/96,08-Jun,235,1416852,United States
Darius Bazley,70,7,Thunder,Forward,6/12/00,08-Jun,200,2284800,United States
Johnathan Motley,70,15,Clippers,Forward,5/04/95,08-Jun,230,79568,United States
Yante Maten,70,0,,"Forward,Center",8/14/96,08-Jun,240,100000,United States
Tyler Lydon,70,0,,"Forward,Center",4/09/96,09-Jun,220,50000,United States
Caleb Swanigan,70,50,Trail Blazers,Center,4/18/97,09-Jun,249,2033160,United States
Jarred Vanderbilt,70,0,Timberwolves,Forward,4/03/99,09-Jun,214,1416852,United States
Naz Reid,70,11,Timberwolves,Center,8/26/99,09-Jun,249,898310,United States
Devonte Graham,69,0,Hornets,Guard,2/22/95,01-Jun,185,1416852,United States
Henry Ellenson,69,0,,"Forward,Center",1/13/97,10-Jun,242,79568,United States
Khyri Thomas,69,13,Pistons,Guard,5/08/96,03-Jun,210,1416852,United States
Theo Pinson,69,0,Knicks,Guard,11/05/95,05-Jun,220,1445697,United States
Terance Mann,69,14,Clippers,Guard,10/18/96,05-Jun,215,1000000,United States
Tyrone Wallace,69,0,,"Guard,Forward",6/10/94,05-Jun,200,502491,United States
Miye Oni,69,24,Jazz,Forward,8/04/97,05-Jun,210,898310,United States
Gary Clark,69,0,Magic,Forward,11/16/94,06-Jun,225,1427191,United States
Cam Reynolds,69,13,Bucks,Guard,2/07/95,07-Jun,225,79568,United States
Malcolm Miller,69,13,Raptors,Forward,3/06/93,07-Jun,205,1588231,United States
Amile Jefferson,69,0,,"Forward,Center",5/07/93,09-Jun,224,1529007,United States
Isaac Bonga,68,17,Wizards,Guard,11/08/99,08-Jun,200,1416852,Germany
Isaiah Hartenstein,68,0,,"Forward,Center",5/05/98,01-Jul,250,1416852,Germany
Kostas Antetokounmpo,68,37,Lakers,Forward,11/20/97,10-Jun,200,79568,Greece
Brandon Goodwin,68,0,Hawks,Guard,10/02/95,01-Jun,180,522738,United States
Michael Frazier,68,21,Rockets,Guard,3/08/94,03-Jun,200,79568,United States
Jalen Lecque,68,0,Suns,Guard,6/13/00,03-Jun,190,898310,United States
Jordan McRae,68,0,Pistons,Guard,3/28/91,05-Jun,179,1254933,United States
Duncan Robinson,67,55,Heat,Forward,4/22/94,07-Jun,215,1416852,United States
